Name                                                 Type                Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
/aux2/conv_out/conv_out.2/Constant                   Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux2/conv_out/conv_out.2/Constant_1                 Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux2/conv_out/conv_out.2/Resize                     Resize              122,880         0.09%       122,880     1.12%       0         0.00%       1x2x80x48    1x2x160x96
/aux3/conv/conv/Conv                                 Conv                2,227,200       1.71%       98,560      0.90%       9,280     1.06%       1x16x20x12   1x64x20x12
/aux3/conv/relu/Relu                                 Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x64x20x12   1x64x20x12
/aux3/conv_out/conv_out.0/conv_out.0.0/Constant      Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux3/conv_out/conv_out.0/conv_out.0.0/Constant_1    Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux3/conv_out/conv_out.0/conv_out.0.0/Resize        Resize              0               0.00%       245,760     2.24%       0         0.00%       1x64x20x12   1x64x40x24
/aux3/conv_out/conv_out.0/conv_out.0.1/conv/Conv     Conv                8,862,720       6.81%       98,368      0.90%       9,232     1.05%       1x64x40x24   1x16x40x24
/aux3/conv_out/conv_out.0/conv_out.0.1/relu/Relu     Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x16x40x24   1x16x40x24
/aux3/conv_out/conv_out.1/Conv                       Conv                32,640          0.03%       7,816       0.07%       34        0.00%       1x16x40x24   1x2x40x24
/aux3/conv_out/conv_out.2/Constant                   Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux3/conv_out/conv_out.2/Constant_1                 Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux3/conv_out/conv_out.2/Resize                     Resize              122,880         0.09%       122,880     1.12%       0         0.00%       1x2x40x24    1x2x160x96
/aux4/conv/conv/Conv                                 Conv                1,109,760       0.85%       89,344      0.82%       18,496    2.11%       1x32x10x6    1x64x10x6
/aux4/conv/relu/Relu                                 Relu                3,840           0.00%       15,360      0.14%       0         0.00%       1x64x10x6    1x64x10x6
/aux4/conv_out/conv_out.0/conv_out.0.0/Constant      Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux4/conv_out/conv_out.0/conv_out.0.0/Constant_1    Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux4/conv_out/conv_out.0/conv_out.0.0/Resize        Resize              0               0.00%       61,440      0.56%       0         0.00%       1x64x10x6    1x64x20x12
/aux4/conv_out/conv_out.0/conv_out.0.1/conv/Conv     Conv                8,862,720       6.81%       209,152     1.91%       36,928    4.21%       1x64x20x12   1x64x20x12
/aux4/conv_out/conv_out.0/conv_out.0.1/relu/Relu     Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x64x20x12   1x64x20x12
/aux4/conv_out/conv_out.1/Conv                       Conv                31,200          0.02%       2,440       0.02%       130       0.01%       1x64x20x12   1x2x20x12
/aux4/conv_out/conv_out.2/Constant                   Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux4/conv_out/conv_out.2/Constant_1                 Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux4/conv_out/conv_out.2/Resize                     Resize              122,880         0.09%       122,880     1.12%       0         0.00%       1x2x20x12    1x2x160x96
/aux5_4/conv/conv/Conv                               Conv                553,920         0.43%       151,552     1.38%       36,928    4.21%       1x64x5x3     1x64x5x3
/aux5_4/conv/relu/Relu                               Relu                960             0.00%       3,840       0.04%       0         0.00%       1x64x5x3     1x64x5x3
/aux5_4/conv_out/conv_out.0/conv_out.0.0/Constant    Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux5_4/conv_out/conv_out.0/conv_out.0.0/Constant_1  Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux5_4/conv_out/conv_out.0/conv_out.0.0/Resize      Resize              0               0.00%       15,360      0.14%       0         0.00%       1x64x5x3     1x64x10x6
/aux5_4/conv_out/conv_out.0/conv_out.0.1/conv/Conv   Conv                8,862,720       6.81%       652,288     5.96%       147,712   16.85%      1x64x10x6    1x256x10x6
/aux5_4/conv_out/conv_out.0/conv_out.0.1/relu/Relu   Relu                15,360          0.01%       61,440      0.56%       0         0.00%       1x256x10x6   1x256x10x6
/aux5_4/conv_out/conv_out.1/Conv                     Conv                30,840          0.02%       2,536       0.02%       514       0.06%       1x256x10x6   1x2x10x6
/aux5_4/conv_out/conv_out.2/Constant                 Constant            0               0.00%       0           0.00%       0         0.00%       0            4
/aux5_4/conv_out/conv_out.2/Constant_1               Constant            0               0.00%       0           0.00%       0         0.00%       0            0
/aux5_4/conv_out/conv_out.2/Resize                   Resize              122,880         0.09%       122,880     1.12%       0         0.00%       1x2x10x6     1x2x160x96
Total                                                _                   130,179,448     100%        10,948,584  100%        876,770   100%        _            _
